Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NNN_M_R
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Water
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Water
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Forest
37,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Grassland
38,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Wetland
39,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Bareland
40,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Water
41,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Forest
42,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
43,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Bareland
47,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Forest
48,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Grassland
49,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Bareland
50,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Water
51,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Forest
52,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL
53,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland
54,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland
55,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland
56,NULL,NULL,Wetland,NULL,Wetland,NULL,Water
57,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest
58,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Grassland
59,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland
60,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Bareland
61,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Built-up
62,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Water
63,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Forest
64,NULL,NULL,Wetland,Water,Wetland,NULL,NULL
65,NULL,NULL,Wetland,Water,Wetland,NULL,Grassland
66,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland
67,NULL,NULL,Wetland,Water,Wetland,NULL,Bareland
68,NULL,NULL,Wetland,Water,Wetland,NULL,Water
69,NULL,NULL,Wetland,Water,Wetland,NULL,Forest
70,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland
71,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Bareland
72,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Forest
73,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Grassland
74,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Grassland
75,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL
76,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland
77,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland
78,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up
79,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Forest
80,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Grassland
81,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Grassland
82,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Forest
83,NULL,NULL,Water,NULL,Water,NULL,Grassland
84,NULL,NULL,Water,NULL,Water,NULL,Wetland
85,NULL,NULL,Water,NULL,Water,NULL,Bareland
86,NULL,NULL,Water,NULL,Water,NULL,Water
87,NULL,NULL,Water,NULL,Water,NULL,Forest
88,NULL,NULL,Water,Non_Water,Water,NULL,Grassland
89,NULL,NULL,Water,Non_Water,Water,NULL,Wetland
90,NULL,NULL,Water,Non_Water,Water,NULL,Bareland
91,NULL,NULL,Water,Non_Water,Water,NULL,Water
92,NULL,NULL,Water,Non_Water,Water,NULL,Forest
93,NULL,NULL,Water,Water,Water,NULL,Grassland
94,NULL,NULL,Water,Water,Water,NULL,Wetland
95,NULL,NULL,Water,Water,Water,NULL,Bareland
96,NULL,NULL,Water,Water,Water,NULL,Water
97,NULL,NULL,Water,Water,Water,NULL,Forest
98,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL
99,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
100,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland
101,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland
102,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Built-up
103,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water
104,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest
105,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL
106,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland
107,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland
108,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Bareland
109,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Water
110,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest
111,NULL,NULL,Forest,Water,Non_Wetland,NULL,Grassland
112,NULL,NULL,Forest,Water,Non_Wetland,NULL,Wetland
113,NULL,NULL,Forest,Water,Non_Wetland,NULL,Bareland
114,NULL,NULL,Forest,Water,Non_Wetland,NULL,Water
115,NULL,NULL,Forest,Water,Non_Wetland,NULL,Forest
116,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland
117,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland
118,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland
119,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Water
120,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest
121,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
122,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL
123,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland
124,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Forest
125,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,Grassland
126,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland
127,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest
128,NULL,Cropland,Wetland,NULL,Wetland,NULL,Grassland
129,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland
130,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Forest
131,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Grassland
132,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Bareland
133,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,Grassland
134,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,Bareland
135,NULL,Wetland,NULL,Water,Non_Wetland,NULL,Grassland
136,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL
137,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Grassland
138,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Wetland
139,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Bareland
140,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Water
141,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Forest
142,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
143,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
144,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Forest
145,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Grassland
146,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Wetland
147,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Bareland
148,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Water
149,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Forest
150,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Grassland
151,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Bareland
152,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Forest
153,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Grassland
154,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Forest
155,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Grassland
156,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Wetland
157,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Water
158,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Forest
159,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Grassland
160,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Bareland
161,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Forest
162,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Grassland
163,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Forest
164,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,Grassland
165,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,Bareland
166,NULL,Wetland,Wetland,NULL,Wetland,NULL,Grassland
167,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland
168,NULL,Wetland,Wetland,NULL,Wetland,NULL,Bareland
169,NULL,Wetland,Wetland,NULL,Wetland,NULL,Water
170,NULL,Wetland,Wetland,NULL,Wetland,NULL,Forest
171,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Grassland
172,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Water
173,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Forest
174,NULL,Wetland,Wetland,Water,Wetland,NULL,Grassland
175,NULL,Wetland,Wetland,Water,Wetland,NULL,Wetland
176,NULL,Wetland,Wetland,Water,Wetland,NULL,Bareland
177,NULL,Wetland,Wetland,Water,Wetland,NULL,Water
178,NULL,Wetland,Wetland,Water,Wetland,NULL,Forest
179,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,Grassland
180,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,Bareland
181,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,Grassland
182,NULL,Wetland,Water,NULL,Water,NULL,Grassland
183,NULL,Wetland,Water,NULL,Water,NULL,Wetland
184,NULL,Wetland,Water,NULL,Water,NULL,Forest
185,NULL,Wetland,Water,Non_Water,Water,NULL,Grassland
186,NULL,Wetland,Water,Non_Water,Water,NULL,Water
187,NULL,Wetland,Water,Water,Water,NULL,Grassland
188,NULL,Wetland,Water,Water,Water,NULL,Wetland
189,NULL,Wetland,Water,Water,Water,NULL,Water
190,NULL,Wetland,Water,Water,Water,NULL,Forest
191,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL
192,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland
193,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland
194,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Bareland
195,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Water
196,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Forest
197,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Grassland
198,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Bareland
199,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Water
200,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Forest
201,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Grassland
202,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Bareland
203,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Water
204,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Forest
205,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Grassland
206,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Bareland
207,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Forest
208,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
209,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Grassland
210,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Wetland
211,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Bareland
212,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Water
213,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Forest
214,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,Grassland
215,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,Forest
216,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,Grassland
217,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,Wetland
218,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,Bareland
219,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,Forest
220,NULL,Bareland,Wetland,NULL,Wetland,NULL,Bareland
221,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,Grassland
222,NULL,Bareland,Wetland,Water,Wetland,NULL,Grassland
223,NULL,Bareland,Wetland,Water,Wetland,NULL,Wetland
224,NULL,Bareland,Wetland,Water,Wetland,NULL,Bareland
225,NULL,Bareland,Wetland,Water,Wetland,NULL,Water
226,NULL,Bareland,Wetland,Water,Wetland,NULL,Forest
227,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,Grassland
228,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,Grassland
229,NULL,Bareland,Water,Non_Water,Water,NULL,Water
230,NULL,Bareland,Water,Water,Water,NULL,Grassland
231,NULL,Bareland,Water,Water,Water,NULL,Wetland
232,NULL,Bareland,Water,Water,Water,NULL,Water
233,NULL,Bareland,Water,Water,Water,NULL,Forest
234,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,Grassland
235,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,Wetland
236,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,Forest
237,NULL,Bareland,Forest,Water,Non_Wetland,NULL,Grassland
238,NULL,Bareland,Forest,Water,Non_Wetland,NULL,Water
239,NULL,Bareland,Forest,Water,Non_Wetland,NULL,Forest
240,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland
241,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL
242,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland
243,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland
244,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up
245,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest
246,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
247,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
248,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Grassland
249,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Bareland
250,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Forest
251,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland
252,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up
253,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest
254,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,Grassland
255,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland
256,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland
257,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up
258,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Forest
259,NULL,Built-up,Wetland,NULL,Wetland,NULL,Grassland
260,NULL,Built-up,Wetland,NULL,Wetland,NULL,Forest
261,NULL,Built-up,Wetland,Water,Wetland,NULL,Bareland
262,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Grassland
263,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Bareland
264,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland
265,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up
266,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Forest
267,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland
268,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland
269,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up
270,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Water
271,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest
272,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,Forest
273,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Grassland
274,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Wetland
275,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Bareland
276,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Water
277,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Forest
278,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
279,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
280,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Forest
281,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Grassland
282,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Wetland
283,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Water
284,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Forest
285,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL
286,NULL,Water,Grassland,NULL,Non_Wetland,NULL,Grassland
287,NULL,Water,Grassland,NULL,Non_Wetland,NULL,Forest
288,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,Bareland
289,NULL,Water,Grassland,Water,Non_Wetland,NULL,Grassland
290,NULL,Water,Grassland,Water,Non_Wetland,NULL,Wetland
291,NULL,Water,Grassland,Water,Non_Wetland,NULL,Bareland
292,NULL,Water,Grassland,Water,Non_Wetland,NULL,Water
293,NULL,Water,Grassland,Water,Non_Wetland,NULL,Forest
294,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Forest
295,NULL,Water,Wetland,NULL,Wetland,NULL,Grassland
296,NULL,Water,Wetland,NULL,Wetland,NULL,Wetland
297,NULL,Water,Wetland,NULL,Wetland,NULL,Forest
298,NULL,Water,Wetland,Non_Water,Wetland,NULL,Grassland
299,NULL,Water,Wetland,Non_Water,Wetland,NULL,Bareland
300,NULL,Water,Wetland,Non_Water,Wetland,NULL,Forest
301,NULL,Water,Wetland,Water,Wetland,NULL,Grassland
302,NULL,Water,Wetland,Water,Wetland,NULL,Wetland
303,NULL,Water,Wetland,Water,Wetland,NULL,Bareland
304,NULL,Water,Wetland,Water,Wetland,NULL,Water
305,NULL,Water,Wetland,Water,Wetland,NULL,Forest
306,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL,Grassland
307,NULL,Water,Water,NULL,Water,NULL,Grassland
308,NULL,Water,Water,Non_Water,Water,NULL,Grassland
309,NULL,Water,Water,Water,Water,NULL,Grassland
310,NULL,Water,Water,Water,Water,NULL,Wetland
311,NULL,Water,Water,Water,Water,NULL,Bareland
312,NULL,Water,Water,Water,Water,NULL,Water
313,NULL,Water,Water,Water,Water,NULL,Forest
314,NULL,Water,Forest,NULL,Non_Wetland,NULL,Grassland
315,NULL,Water,Forest,NULL,Non_Wetland,NULL,Forest
316,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,Grassland
317,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,Forest
318,NULL,Water,Forest,Water,Non_Wetland,NULL,Forest
319,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL
320,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland
321,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland
322,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Built-up
323,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest
324,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,Forest
325,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL
326,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland
327,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Bareland
328,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Forest
329,NULL,Forest,Grassland,Water,Non_Wetland,NULL,Forest
330,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland
331,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest
332,NULL,Forest,Wetland,NULL,Wetland,NULL,Grassland
333,NULL,Forest,Wetland,NULL,Wetland,NULL,Forest
334,NULL,Forest,Wetland,Non_Water,Wetland,NULL,Forest
335,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,Grassland
336,NULL,Forest,Water,NULL,Water,NULL,Forest
337,NULL,Forest,Water,Non_Water,Water,NULL,Grassland
338,NULL,Forest,Water,Non_Water,Water,NULL,Forest
339,NULL,Forest,Water,Water,Water,NULL,Forest
340,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL
341,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland
342,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest
343,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,Grassland
344,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,Forest
345,NULL,Forest,Forest,Water,Non_Wetland,NULL,Grassland
346,NULL,Forest,Forest,Water,Non_Wetland,NULL,Forest
347,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland
348,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL
349,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
350,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland
351,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland
352,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up
353,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Water
354,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
355,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
356,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
357,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water
358,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest
359,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL
360,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland
361,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland
362,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland
363,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Water
364,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Forest
365,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL
366,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
367,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland
368,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland
369,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Water
370,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
371,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL
372,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland
373,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland
374,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Forest
375,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,Grassland
376,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,Wetland
377,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,Water
378,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,Forest
379,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
380,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland
381,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland
382,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up
383,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
384,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland
