Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MCD_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Built-up
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
66,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
67,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
68,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
69,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
70,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
71,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
72,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
73,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
74,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Wetland
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
76,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
77,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
79,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
80,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
81,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Wetland
82,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
83,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
84,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
85,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
86,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
