Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NLL_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
7,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
8,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
9,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
10,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
11,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
12,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
13,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
14,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
15,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
16,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
17,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
18,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
19,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
20,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
21,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
22,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
23,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
24,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
25,NULL,NULL,Water,Water,Water,NULL,NULL,Water
26,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
27,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
28,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
29,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
30,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
31,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
32,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
33,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
34,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
35,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
36,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
37,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
38,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
39,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
40,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
41,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
42,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
43,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
44,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
45,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
46,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
47,NULL,Water,Water,NULL,Water,NULL,NULL,Water
48,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
49,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
50,NULL,Water,Water,Water,Water,NULL,NULL,Water
51,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
