Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NRK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
