Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LGJ_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Water
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
130,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,NULL
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
186,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
187,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
192,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
193,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
194,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
195,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
196,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
197,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
198,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
211,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
212,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
213,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
214,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
215,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
216,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
217,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
218,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
219,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
220,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
221,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
222,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
224,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
227,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
229,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Bareland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Wetland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
262,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
263,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Bareland
264,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
265,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
266,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
267,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Water
268,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
269,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,Grassland
270,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
271,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Forest
272,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
273,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
274,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
275,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
276,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
277,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
278,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Water
279,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Wetland
280,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Water
281,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
282,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
283,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
284,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Forest
285,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
286,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
287,NULL,NULL,NULL,Water,Non_Wetland,Forest,NULL,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
289,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
294,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
295,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
296,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
297,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
302,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
303,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
