Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NZG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NZG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NZG_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
18,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
19,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
20,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
21,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
22,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
23,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
24,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
26,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
32,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
33,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
34,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
35,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
36,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
37,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
38,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
39,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
40,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
41,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
42,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
43,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
44,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
45,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
46,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
47,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
48,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
49,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
50,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
51,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
