Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MRU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
47,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
48,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
49,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
50,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
51,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
52,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
53,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
55,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
56,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
