Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KXV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
17,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
