Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KED_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KED_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KED_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KED_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KED_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KED_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KED_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KED_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
147,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
148,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Built-up
151,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
152,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
156,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
157,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
160,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Forest
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Grassland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
202,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
203,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
204,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Cropland
205,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
206,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Cropland
207,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
208,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
209,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
210,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
211,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Forest
212,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Wetland
213,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
214,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
215,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Built-up
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Cropland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Wetland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
