Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LDJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LDJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
28,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
29,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
30,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
31,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
32,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
33,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
34,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
35,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
36,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
37,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
38,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Forest
39,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
