Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LTK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LTK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTK_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
123,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Cropland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,Grassland
185,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
186,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
192,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
193,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
194,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
195,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
196,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
197,NULL,NULL,NULL,NULL,Non_Wetland,Water,Built-up,NULL
198,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
199,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
200,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
201,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
202,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
210,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
214,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
222,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
223,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
224,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Bareland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Cropland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Water
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,NULL
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,NULL
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
276,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
277,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
278,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
279,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
280,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
281,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Wetland
282,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Forest
283,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,NULL
284,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
285,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
286,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Bareland
287,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
288,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Forest
289,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
290,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Wetland
291,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Bareland
292,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
293,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Forest
294,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
295,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
296,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
297,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,NULL
298,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
299,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Wetland
300,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Forest
301,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,NULL
302,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Water
303,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Forest
304,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,NULL
305,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
306,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Cropland
307,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Water
308,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Forest
309,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,NULL
310,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
311,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Wetland
312,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Water
313,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Forest
314,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
315,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
316,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
317,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
318,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Bareland
319,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
320,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
321,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,NULL
322,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
323,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Bareland
324,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Built-up,Grassland
325,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,NULL
326,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
327,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Wetland
328,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Bareland
329,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Water
330,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Forest
331,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,NULL
332,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
