Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NBK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NBK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NBK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NBK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NBK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
4,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
6,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
7,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
8,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
16,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
17,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
18,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
20,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
21,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
22,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
23,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
24,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
25,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
26,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
27,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
28,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
29,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
30,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
31,NULL,NULL,Water,Water,Water,NULL,NULL,Water
32,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
34,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
35,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
36,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
37,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
38,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
40,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
41,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
42,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
43,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
44,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
45,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
46,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
47,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
48,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
49,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
50,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
51,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
52,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
