Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KEU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
11,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
16,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
