Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20PRQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PRQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PRQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PRQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PRQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20PRQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
6,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
7,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
8,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
10,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
11,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
13,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
14,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
15,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
16,NULL,NULL,Cropland,Water,Non_Wetland,Water
17,NULL,NULL,Wetland,NULL,Wetland,NULL
18,NULL,NULL,Wetland,NULL,Wetland,Grassland
19,NULL,NULL,Wetland,NULL,Wetland,Wetland
20,NULL,NULL,Wetland,NULL,Wetland,Bareland
21,NULL,NULL,Wetland,NULL,Wetland,Built-up
22,NULL,NULL,Wetland,NULL,Wetland,Water
23,NULL,NULL,Wetland,NULL,Wetland,Forest
24,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
25,NULL,NULL,Wetland,Non_Water,Wetland,Forest
26,NULL,NULL,Wetland,Water,Wetland,Wetland
27,NULL,NULL,Wetland,Water,Wetland,Water
28,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
29,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
30,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
31,NULL,NULL,Water,Non_Water,Water,Forest
32,NULL,NULL,Water,Water,NULL,Water
33,NULL,NULL,Water,Water,Water,Wetland
34,NULL,NULL,Water,Water,Water,Water
35,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
36,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
37,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
38,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
39,NULL,NULL,Forest,NULL,Non_Wetland,Forest
40,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
41,NULL,Cropland,Wetland,NULL,Wetland,Forest
42,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
43,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
44,NULL,Wetland,Wetland,NULL,Wetland,Wetland
45,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
46,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
47,NULL,Bareland,Wetland,NULL,Wetland,Wetland
48,NULL,Bareland,Wetland,NULL,Wetland,Forest
49,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
50,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
51,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
52,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
53,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
54,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
55,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
56,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
57,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
58,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
59,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
60,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
61,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
62,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
63,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
64,NULL,Built-up,Wetland,NULL,Wetland,Grassland
65,NULL,Built-up,Wetland,NULL,Wetland,Wetland
66,NULL,Built-up,Wetland,NULL,Wetland,Built-up
67,NULL,Built-up,Wetland,NULL,Wetland,Forest
68,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland
69,NULL,Built-up,Wetland,Non_Water,Wetland,Water
70,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
71,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
72,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
73,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
74,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
75,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
76,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
77,NULL,Built-up,Water,NULL,Water,Wetland
78,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
79,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
80,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
81,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
82,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
83,NULL,Water,Shrubland,NULL,Non_Wetland,Water
84,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
85,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
86,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
87,NULL,Water,Shrubland,Water,Non_Wetland,Water
88,NULL,Water,Grassland,Water,Non_Wetland,Bareland
89,NULL,Water,Wetland,NULL,Wetland,Grassland
90,NULL,Water,Wetland,NULL,Wetland,Wetland
91,NULL,Water,Wetland,NULL,Wetland,Water
92,NULL,Water,Wetland,NULL,Wetland,Forest
93,NULL,Water,Wetland,Non_Water,Wetland,Grassland
94,NULL,Water,Wetland,Non_Water,Wetland,Wetland
95,NULL,Water,Wetland,Non_Water,Wetland,Bareland
96,NULL,Water,Wetland,Non_Water,Wetland,Water
97,NULL,Water,Wetland,Non_Water,Wetland,Forest
98,NULL,Water,Wetland,Water,Wetland,Grassland
99,NULL,Water,Wetland,Water,Wetland,Wetland
100,NULL,Water,Wetland,Water,Wetland,Bareland
101,NULL,Water,Wetland,Water,Wetland,Water
102,NULL,Water,Water,NULL,Water,Forest
103,NULL,Water,Water,Non_Water,Water,Water
104,NULL,Water,Water,Water,Water,Water
105,NULL,Water,Forest,NULL,Non_Wetland,Wetland
106,NULL,Water,Forest,NULL,Non_Wetland,Water
107,NULL,Water,Forest,NULL,Non_Wetland,Forest
108,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
109,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
110,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
111,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
112,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
113,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
114,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
115,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
116,NULL,Forest,Wetland,NULL,Wetland,Grassland
