Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NLK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Built-up
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
36,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
37,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
38,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
39,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
40,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
41,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
42,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
43,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
44,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
45,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Shrubland,Grassland
46,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
47,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
48,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
49,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
50,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
51,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
52,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
53,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
54,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
55,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Grassland
56,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Grassland
57,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
58,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
59,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
60,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
61,NULL,NULL,Water,Water,Water,NULL,NULL,Water
62,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
63,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
64,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
65,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
66,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
67,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
68,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
69,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
70,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
71,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
72,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
73,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
74,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
75,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
76,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
77,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
78,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
79,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
80,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
81,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
82,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
83,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
84,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Grassland
85,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
86,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
87,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
88,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
89,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
90,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
91,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
92,NULL,Bareland,Water,NULL,Water,NULL,NULL,Water
93,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
94,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
95,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
96,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
97,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
98,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
99,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
100,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
101,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
102,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
103,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
104,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
105,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
106,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
107,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
108,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
109,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
110,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
111,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
112,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
113,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
114,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
115,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
116,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
117,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
118,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
119,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
120,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
121,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
