Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KRE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KRE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KRE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KRE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KRE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KRE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KRE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KRE_M_R
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
46,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
50,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
56,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
57,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
58,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
59,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
60,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
61,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
62,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
63,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
64,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
65,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
66,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
67,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
68,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
69,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
70,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
71,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
72,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
73,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
74,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
75,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
76,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
77,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
78,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
79,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
80,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
81,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
82,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
83,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
84,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
85,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
86,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
87,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
88,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
89,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
90,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
91,NULL,NULL,Water,NULL,Water,NULL,NULL,Built-up
92,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
93,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
94,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
95,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
96,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
97,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
98,NULL,NULL,Water,Water,Water,NULL,NULL,NULL
99,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
100,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
101,NULL,NULL,Water,Water,Water,NULL,NULL,Water
102,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
103,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
104,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
105,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
106,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
107,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
108,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
109,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
110,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
111,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
112,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
113,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
114,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
115,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
116,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
117,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
118,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
119,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
120,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
121,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
122,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
123,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
124,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
125,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
126,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
127,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
128,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
129,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
130,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
131,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
132,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
133,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
134,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
135,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
136,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
137,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
138,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
139,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
140,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
141,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
142,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
143,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
144,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
145,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
146,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
147,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
148,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
149,NULL,Cropland,Water,NULL,Water,NULL,NULL,NULL
150,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
151,NULL,Cropland,Water,NULL,Water,NULL,NULL,Cropland
152,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
153,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
154,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
155,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
156,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
157,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
158,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
159,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
160,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
161,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
162,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
163,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
164,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
165,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
166,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
167,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
168,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
169,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
170,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
171,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
172,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
173,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
174,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
175,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
176,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
177,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
178,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
179,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
180,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
181,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
182,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
183,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
184,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
185,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
186,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
187,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
188,NULL,Built-up,Water,NULL,Water,NULL,NULL,Cropland
189,NULL,Built-up,Water,NULL,Water,NULL,NULL,Built-up
190,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
191,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
192,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
193,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
194,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
195,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
196,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
197,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
198,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
199,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
200,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
201,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
202,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
203,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
204,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
205,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
206,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
207,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
208,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
209,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
210,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
211,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
212,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
213,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
214,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
215,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
216,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
217,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
218,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
219,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
220,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
221,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
222,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
223,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
224,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
225,NULL,Forest,Water,NULL,Water,NULL,NULL,Grassland
226,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
227,NULL,Forest,Water,Water,Water,NULL,NULL,Water
228,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
229,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
230,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
231,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
232,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
233,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
234,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
235,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
236,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
237,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
238,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
239,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
240,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
241,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
242,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
243,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
244,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
245,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
246,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
247,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
248,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
249,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
250,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
251,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
252,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
253,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
254,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
255,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
256,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
257,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
258,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
259,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
260,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
261,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
262,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
263,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
264,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
265,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
266,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
267,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
268,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
269,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
270,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
271,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
272,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
273,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
274,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
275,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
276,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
277,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
278,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
279,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
280,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
281,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
282,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
283,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
284,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
285,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
286,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
287,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
288,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
289,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
290,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
291,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
292,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
293,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
294,Grassland,NULL,Water,NULL,Water,NULL,NULL,NULL
295,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
296,Grassland,NULL,Water,NULL,Water,NULL,NULL,Cropland
297,Grassland,NULL,Water,NULL,Water,NULL,NULL,Wetland
298,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
299,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
300,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Water
301,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
302,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
303,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
304,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
305,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
306,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
307,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
308,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
309,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
310,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
311,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
312,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
313,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
314,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
315,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
316,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
317,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
318,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
319,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
320,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
321,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
322,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
323,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
324,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
325,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
326,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
327,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
328,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
329,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
330,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
331,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
332,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
333,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
334,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
335,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
336,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
337,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
338,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
