Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KNQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KNQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KNQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KNQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KNQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KNQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Bareland
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Built-up
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
16,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
21,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
