Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LEC_M_R
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
33,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
34,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
35,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
36,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
38,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
40,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
41,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
42,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
43,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
44,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
45,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
46,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
47,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
48,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
49,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
50,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
51,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
52,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
53,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
54,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
55,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
56,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
57,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Built-up
58,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
59,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
60,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
61,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
62,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
63,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
64,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Built-up
65,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
66,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
67,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
68,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
69,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
70,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
71,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
72,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
73,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
74,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
75,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
76,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
77,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
78,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
79,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
80,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
81,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
82,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
83,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
84,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
85,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
86,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
87,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
88,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
89,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
90,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
91,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
92,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
93,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
94,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
95,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
96,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
97,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
98,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
99,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
100,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
101,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
102,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
103,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Cropland
104,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
105,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Cropland
106,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Bareland
107,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
108,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
109,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
110,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
111,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
112,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
113,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
114,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
115,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
116,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
117,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
118,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
119,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Built-up
120,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
121,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
122,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
123,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
124,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
125,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
126,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
127,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
128,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
129,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
130,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
131,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
132,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
133,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
134,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
135,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Wetland
136,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
137,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
138,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
139,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
140,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
141,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
142,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
143,NULL,NULL,Water,NULL,Water,NULL,NULL,Permanent_ice_and_snow
144,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
145,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
146,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
147,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
148,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
149,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
150,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
151,NULL,NULL,Water,Water,Water,NULL,NULL,Water
152,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
153,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
154,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
155,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
156,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
157,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
158,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
159,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
160,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
161,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
162,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
163,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
164,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
165,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
166,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
167,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
168,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
169,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
170,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
171,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
172,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
173,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
174,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
175,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
176,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
177,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
178,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
179,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
180,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
181,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
182,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
183,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
184,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
185,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
186,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
187,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
188,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
189,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
190,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
191,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
192,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
193,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
194,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
195,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
196,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
197,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
198,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
199,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
200,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
201,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
202,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
203,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
204,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
205,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
206,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
207,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
208,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
209,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
210,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
211,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
212,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
213,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
214,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
215,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
216,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
217,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
218,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
219,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
220,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
221,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
222,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
223,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
224,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
225,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
226,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
227,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
228,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
229,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
230,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
231,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
232,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
233,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
234,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
235,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
236,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
237,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
238,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
239,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
240,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
241,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
242,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
243,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
244,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
245,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
246,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
247,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
248,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
249,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
250,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
251,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
252,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
253,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
254,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
255,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
256,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
257,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
258,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
259,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
260,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
261,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
262,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
263,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
264,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
265,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
266,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
267,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
268,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
269,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
270,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
271,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Built-up
272,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
273,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
274,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
275,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Water
276,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
277,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
278,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
279,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
280,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
281,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
282,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
283,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
284,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
285,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
286,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,NULL
287,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
288,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
289,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
290,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
291,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
292,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
293,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
294,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
295,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
296,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
297,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
298,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
299,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
300,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
301,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
302,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
303,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Water
304,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
305,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
306,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
307,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
308,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Wetland
309,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
310,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
311,NULL,Wetland,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
312,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
313,NULL,Wetland,Water,NULL,Water,NULL,NULL,Wetland
314,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
315,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
316,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Water
317,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
318,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
319,NULL,Wetland,Water,Water,Water,NULL,NULL,Bareland
320,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
321,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
322,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
323,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
324,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
325,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
326,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
327,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
328,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
329,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
330,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
331,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
332,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
333,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
