Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LWH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
