Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KKU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KKU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KKU_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Bareland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Water
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Wetland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Water
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Cropland
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Bareland
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Built-up
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
144,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
145,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Cropland
148,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
149,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
188,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
189,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
190,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
193,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Built-up
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Cropland
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
211,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
212,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Cropland
213,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
214,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
215,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
216,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
222,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
225,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,NULL
226,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Wetland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
229,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Cropland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,NULL
233,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Cropland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Wetland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Bareland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Forest
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Cropland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,NULL
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Wetland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,NULL
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Wetland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,NULL
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Cropland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Wetland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Bareland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Water
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Water
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,NULL
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,NULL
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Water
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Cropland
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Water
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Built-up,NULL
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,NULL
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Grassland
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Wetland
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
