Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LXP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LXP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LXP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LXP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LXP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LXP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LXP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LXP_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
124,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Cropland
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
185,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
186,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
187,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Cropland
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Built-up
192,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
193,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
194,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Water
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
208,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
209,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
214,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Bareland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,NULL
223,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Bareland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Bareland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,NULL
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Cropland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Bareland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Bareland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Cropland
262,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
263,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
264,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
265,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Forest
266,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
267,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Cropland
268,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,NULL
269,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Grassland
270,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
271,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Forest
272,NULL,NULL,NULL,Water,Non_Wetland,NULL,Forest,Bareland
273,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
274,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Forest
275,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
276,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
277,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Water
278,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Bareland,Grassland
279,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
280,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
281,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
282,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
283,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
284,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
285,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Wetland
286,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
287,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
288,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
289,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Grassland
290,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Grassland
291,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
292,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
293,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
294,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Bareland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
296,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
301,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
303,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Water
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
