Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MHQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
16,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
17,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
18,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
22,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
25,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
