Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NRP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland
8,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland
9,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland
10,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water
17,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest
24,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL
25,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland
26,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland
27,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland
28,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Forest
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Water
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Bareland
38,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Grassland
39,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Bareland
40,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Water
41,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL
42,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
43,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up
46,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
48,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Wetland
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Bareland
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Forest
53,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Grassland
54,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Wetland
55,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Bareland
56,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Water
57,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Forest
58,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland
59,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland
60,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland
61,NULL,NULL,Wetland,NULL,Wetland,NULL,Water
62,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest
63,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Grassland
64,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland
65,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Bareland
66,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Water
67,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Forest
68,NULL,NULL,Wetland,Water,Wetland,NULL,Grassland
69,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland
70,NULL,NULL,Wetland,Water,Wetland,NULL,Bareland
71,NULL,NULL,Wetland,Water,Wetland,NULL,Water
72,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland
73,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Bareland
74,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Forest
75,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Grassland
76,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Bareland
77,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Water
78,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Wetland
79,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Bareland
80,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL
81,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland
82,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland
83,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up
84,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Forest
85,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Grassland
86,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Bareland
87,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Grassland
88,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Bareland
89,NULL,NULL,Water,NULL,Water,NULL,Grassland
90,NULL,NULL,Water,NULL,Water,NULL,Bareland
91,NULL,NULL,Water,NULL,Water,NULL,Water
92,NULL,NULL,Water,NULL,Water,NULL,Forest
93,NULL,NULL,Water,Non_Water,Water,NULL,Grassland
94,NULL,NULL,Water,Non_Water,Water,NULL,Wetland
95,NULL,NULL,Water,Non_Water,Water,NULL,Bareland
96,NULL,NULL,Water,Non_Water,Water,NULL,Forest
97,NULL,NULL,Water,Water,Water,NULL,Grassland
98,NULL,NULL,Water,Water,Water,NULL,Wetland
99,NULL,NULL,Water,Water,Water,NULL,Bareland
100,NULL,NULL,Water,Water,Water,NULL,Water
101,NULL,NULL,Water,Water,Water,NULL,Forest
102,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL
103,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
104,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland
105,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland
106,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Built-up
107,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water
108,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest
109,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland
110,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Bareland
111,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Water
112,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest
113,NULL,NULL,Forest,Water,Non_Wetland,NULL,Grassland
114,NULL,NULL,Forest,Water,Non_Wetland,NULL,Bareland
115,NULL,NULL,Forest,Water,Non_Wetland,NULL,Water
116,NULL,NULL,Forest,Water,Non_Wetland,NULL,Forest
117,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland
118,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Bareland
119,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Bareland
120,NULL,Cropland,NULL,Water,Non_Wetland,NULL,Water
121,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL
122,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland
123,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland
124,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Built-up
125,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest
126,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
127,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
128,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,Grassland
129,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,Bareland
130,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,Water
131,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland
132,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Bareland
133,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Forest
134,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland
135,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Bareland
136,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest
137,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Grassland
138,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Bareland
139,NULL,Cropland,Wetland,NULL,Wetland,NULL,Grassland
140,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,Grassland
141,NULL,Cropland,Wetland,Water,Wetland,NULL,Forest
142,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,Grassland
143,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,Bareland
144,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland
145,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Bareland
146,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up
147,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Forest
148,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,Grassland
149,NULL,Cropland,Water,NULL,Water,NULL,Grassland
150,NULL,Cropland,Water,NULL,Water,NULL,Bareland
151,NULL,Cropland,Water,NULL,Water,NULL,Water
152,NULL,Cropland,Water,NULL,Water,NULL,Forest
153,NULL,Cropland,Water,Non_Water,Water,NULL,Grassland
154,NULL,Cropland,Water,Water,Water,NULL,Bareland
155,NULL,Cropland,Water,Water,Water,NULL,Forest
156,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland
157,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Bareland
158,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Forest
159,NULL,Cropland,Forest,Water,Non_Wetland,NULL,Forest
160,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Grassland
161,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Wetland
162,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Bareland
163,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Forest
164,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,Grassland
165,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,Wetland
166,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,Bareland
167,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,Water
168,NULL,Wetland,NULL,Water,Non_Wetland,NULL,Wetland
169,NULL,Wetland,NULL,Water,Non_Wetland,NULL,Bareland
170,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL
171,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Grassland
172,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Wetland
173,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Bareland
174,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Built-up
175,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Water
176,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Forest
177,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
178,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
179,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Water
180,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Forest
181,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Grassland
182,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Bareland
183,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Water
184,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Forest
