Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MNV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Bareland
25,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
