Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MPB_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
59,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
60,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
61,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
62,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
63,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
64,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
65,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
66,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
67,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
68,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
69,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
70,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
71,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
72,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Forest
73,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
74,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
76,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
77,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
78,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
79,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
80,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
81,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
82,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Forest
83,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
84,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
85,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Grassland
86,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Forest
87,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
88,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
89,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Forest
90,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
91,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
92,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
93,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Bareland,Grassland
94,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
95,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Grassland
96,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Forest
97,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
98,NULL,NULL,NULL,Water,Non_Wetland,Built-up,Wetland,Grassland
99,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
100,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
101,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
102,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
103,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
104,NULL,NULL,NULL,Water,Non_Wetland,Water,Forest,Grassland
105,NULL,NULL,NULL,Water,Non_Wetland,Forest,Grassland,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
108,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Forest
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
165,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
166,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
167,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
168,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
169,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
170,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
171,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Forest
172,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
173,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
174,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
175,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
176,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
177,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
178,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
179,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
180,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
181,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Grassland
182,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
183,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
184,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
185,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
186,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Grassland
187,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Forest
188,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
189,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
190,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Forest
191,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
192,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
193,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
194,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Grassland
195,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
196,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Grassland
197,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
198,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Forest
199,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
200,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
201,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
202,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up,Wetland,Grassland
203,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
204,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Forest
205,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
206,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Forest,Grassland
207,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
208,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
209,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
210,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
211,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
212,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
213,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
