Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LGE_M_R
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
32,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
34,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
35,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
36,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
42,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
43,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
44,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
49,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
50,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
51,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
52,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
53,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
54,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
55,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
56,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
57,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
58,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
59,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
60,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
61,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
62,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
63,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
64,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
65,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
66,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
67,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
68,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
69,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
70,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
71,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
72,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
73,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
74,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
75,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
76,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
77,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
78,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
79,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
80,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
81,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
82,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
83,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
84,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
85,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
86,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
87,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
88,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
89,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
90,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
91,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
92,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
93,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
94,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
95,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
96,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
97,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
98,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
99,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
100,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Wetland
101,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
102,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
103,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
104,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Grassland
105,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Cropland
106,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
107,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
108,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
109,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
110,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
111,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
112,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
113,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
114,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
115,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
116,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
117,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
118,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
119,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
120,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
121,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
122,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
123,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
124,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
125,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
126,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
127,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
128,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
129,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
130,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
131,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
132,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
133,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
134,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
135,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
136,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
137,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
138,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
139,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
140,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
141,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
142,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
143,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
144,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
145,NULL,NULL,Water,Water,Water,NULL,NULL,Water
146,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
147,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
148,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
149,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
150,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
151,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
152,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
153,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
154,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
155,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
156,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
157,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
158,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
159,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
160,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
161,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
162,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
163,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
164,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
165,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
166,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
167,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
168,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
169,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
170,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
171,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
172,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
173,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
174,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
175,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
176,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
177,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
178,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
179,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
180,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
181,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
182,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
183,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
184,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
185,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
186,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
187,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
188,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
189,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
190,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
191,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
192,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
193,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,NULL
194,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
195,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
196,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
197,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
198,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Water
199,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
200,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
201,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
202,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
203,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
204,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
205,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
206,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
207,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
208,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
209,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
210,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
211,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
212,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
213,NULL,Cropland,Water,Water,Water,NULL,NULL,Wetland
214,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
215,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
216,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
217,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
218,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
219,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
220,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
221,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
222,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
223,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
224,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
225,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
226,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
227,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
228,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
229,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
230,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
231,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
232,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
233,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
234,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
235,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
236,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
237,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
238,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
239,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
240,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
241,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
242,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
243,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
244,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
245,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
246,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
247,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
248,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Cropland
249,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
250,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
251,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
252,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
253,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
254,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
255,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
256,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
257,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
258,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
259,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
260,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
261,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
262,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
263,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
264,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
265,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
266,NULL,Wetland,Water,NULL,Water,NULL,NULL,NULL
267,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
268,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
269,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
270,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
271,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
272,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
273,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
274,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
275,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
276,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
277,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
278,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
279,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
280,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
281,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
282,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
283,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
284,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
285,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
286,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
287,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
288,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
289,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
290,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
291,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Forest
292,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
293,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
294,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
295,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
296,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
297,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
298,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
299,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
300,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
301,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
302,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
303,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
304,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
305,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
306,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
307,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
308,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
309,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
310,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
311,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
312,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
313,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,NULL
314,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
315,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
316,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
317,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
318,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
319,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
320,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
321,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
322,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
323,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
324,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
325,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
326,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
327,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
328,NULL,Built-up,Water,Water,Water,NULL,NULL,Grassland
329,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
330,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
331,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
332,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
333,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
334,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
335,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
336,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
337,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
338,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
339,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
