Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NYF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NYF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NYF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NYF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NYF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18NYF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18NYF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NYF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
8,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
9,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
10,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
11,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
12,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
13,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
14,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
15,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
16,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
17,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
18,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
19,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
20,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
21,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
22,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
23,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
24,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
25,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
26,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
27,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
28,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
29,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
