Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LLK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LLK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LLK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LLK_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Water
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
148,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
163,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
164,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
165,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Water
166,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Water
167,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
168,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Cropland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Bareland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Water
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Bareland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Bareland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Water
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Bareland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Bareland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,NULL
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Bareland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Water
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
