Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MTA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MTA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MTA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MTA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MTA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MTA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MTA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MTA_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Built-up
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Built-up
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Built-up
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
188,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
189,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
190,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
191,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
192,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
193,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
194,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
195,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
196,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
197,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
198,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
199,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,Grassland
200,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,Built-up
201,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
202,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
203,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
204,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
205,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
206,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
207,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
208,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Water
209,NULL,NULL,NULL,NULL,Non_Wetland,Water,Built-up,Grassland
210,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
211,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
212,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
213,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
214,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
215,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
216,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
217,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
218,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
219,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
220,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
221,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
222,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
223,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
224,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
225,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
226,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
227,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Bareland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Water
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Built-up,Grassland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Bareland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Cropland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Water
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Grassland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
273,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
274,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
275,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,NULL
276,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
277,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
278,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
279,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Wetland
280,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
281,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
282,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
283,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,NULL
284,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
285,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Bareland
286,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Built-up,Grassland
287,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
288,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
289,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,NULL
290,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
291,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
292,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
293,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Built-up,Grassland
294,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
295,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
296,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Grassland
297,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Water
298,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
299,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Bareland
300,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
301,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
302,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Bareland
303,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Grassland
304,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
305,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Bareland
306,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Water
307,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
308,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Grassland
309,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
310,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
311,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Bareland
312,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
