Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LTD_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
134,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
144,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
145,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,NULL
146,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Forest
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Forest
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Water
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
160,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
161,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
162,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
163,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Water
164,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
165,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
166,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
167,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
168,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
169,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
170,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
171,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Wetland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,NULL
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Built-up
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Water
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Built-up
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
