Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MVD_M_R
196,Wetland,Water,Water,Water,Water,Water
197,Wetland,Forest,Wetland,NULL,Wetland,Forest
198,Wetland,Forest,Wetland,Water,Wetland,Water
199,Bareland,NULL,Cropland,Water,Non_Wetland,Grassland
200,Bareland,NULL,Cropland,Water,Non_Wetland,Water
201,Bareland,NULL,Wetland,NULL,Wetland,Forest
202,Bareland,NULL,Wetland,Non_Water,Wetland,Water
203,Bareland,NULL,Wetland,Water,Wetland,Water
204,Bareland,NULL,Water,Water,Water,Water
205,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland
206,Bareland,NULL,Forest,NULL,Non_Wetland,Forest
207,Bareland,Wetland,Wetland,Water,Wetland,Water
208,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
209,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Water
210,Bareland,Bareland,Shrubland,Water,Non_Wetland,Water
211,Bareland,Bareland,Grassland,Water,Non_Wetland,Water
212,Bareland,Bareland,Cropland,NULL,Non_Wetland,Forest
213,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Water
214,Bareland,Bareland,Wetland,NULL,Wetland,Water
215,Bareland,Bareland,Wetland,NULL,Wetland,Forest
216,Bareland,Bareland,Wetland,Non_Water,Wetland,Grassland
217,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland
218,Bareland,Bareland,Wetland,Non_Water,Wetland,Water
219,Bareland,Bareland,Wetland,Non_Water,Wetland,Forest
220,Bareland,Bareland,Wetland,Water,Wetland,Grassland
221,Bareland,Bareland,Wetland,Water,Wetland,Bareland
222,Bareland,Bareland,Wetland,Water,Wetland,Water
223,Bareland,Bareland,Wetland,Water,Wetland,Forest
224,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Water
225,Bareland,Bareland,Bareland,Water,Non_Wetland,Water
226,Bareland,Bareland,Bareland,Water,Non_Wetland,Forest
227,Bareland,Bareland,Built-up,Water,Non_Wetland,Water
228,Bareland,Bareland,Water,NULL,Water,Water
229,Bareland,Bareland,Water,NULL,Water,Forest
230,Bareland,Bareland,Water,Non_Water,Water,Grassland
231,Bareland,Bareland,Water,Non_Water,Water,Water
232,Bareland,Bareland,Water,Non_Water,Water,Forest
233,Bareland,Bareland,Water,Water,Water,Grassland
234,Bareland,Bareland,Water,Water,Water,Water
235,Bareland,Bareland,Water,Water,Water,Forest
236,Bareland,Bareland,Forest,NULL,Non_Wetland,Water
237,Bareland,Bareland,Forest,NULL,Non_Wetland,Forest
238,Bareland,Bareland,Forest,Non_Water,Non_Wetland,Grassland
239,Bareland,Bareland,Forest,Non_Water,Non_Wetland,Water
240,Bareland,Bareland,Forest,Non_Water,Non_Wetland,Forest
241,Bareland,Bareland,Forest,Water,Non_Wetland,Grassland
242,Bareland,Bareland,Forest,Water,Non_Wetland,Water
243,Bareland,Bareland,Forest,Water,Non_Wetland,Forest
244,Bareland,Built-up,Wetland,Water,Wetland,Water
245,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Water
