Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KFF_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
128,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
129,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
131,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Built-up
133,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Built-up
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
144,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
145,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
146,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
147,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
148,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
149,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Cropland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
153,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
155,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,NULL
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
186,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
187,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
188,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Cropland
189,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
190,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Wetland
191,NULL,NULL,NULL,Water,Non_Wetland,NULL,Forest,Forest
192,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
193,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
194,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
195,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
196,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
197,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
198,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
199,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
200,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Cropland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,NULL
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Cropland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,NULL
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
