Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KRF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KRF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KRF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KRF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KRF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KRF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KRF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KRF_M_R
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
38,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
39,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
41,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
42,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
43,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
47,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
48,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
49,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
50,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
51,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
52,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
53,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
54,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
55,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
56,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
57,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
58,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
59,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
60,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
61,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
62,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
63,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
64,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
65,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
66,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
67,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
68,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
69,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
70,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
71,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
72,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
73,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
74,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
75,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
76,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
77,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
78,NULL,NULL,Water,NULL,Water,NULL,NULL,Built-up
79,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
80,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
81,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
82,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
83,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
84,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
85,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
86,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
87,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
88,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
89,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
90,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
91,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
92,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
93,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
94,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
95,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
96,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
97,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
98,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
99,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
100,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
101,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
102,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
103,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
104,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
105,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
106,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
107,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
108,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
109,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
110,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
111,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
112,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
113,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
114,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
115,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
116,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
117,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
118,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
119,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
120,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
121,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
122,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
123,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
124,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
125,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
126,NULL,Cropland,Water,NULL,Water,NULL,NULL,Cropland
127,NULL,Cropland,Water,NULL,Water,NULL,NULL,Wetland
128,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
129,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
130,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
131,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
132,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
133,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
134,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
135,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
136,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
137,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
138,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
139,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
140,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
141,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
142,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
143,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
144,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Water
145,NULL,Bareland,Water,NULL,Water,NULL,NULL,Bareland
146,NULL,Bareland,Water,NULL,Water,NULL,NULL,Water
147,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
148,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
149,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
150,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
151,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
152,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
153,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
154,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
155,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
156,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
157,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
158,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
159,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
160,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
161,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
162,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
163,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
164,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
165,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
166,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
167,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
168,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
169,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
170,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
171,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
172,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
173,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
174,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
175,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
176,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
177,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
178,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
179,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
180,NULL,Built-up,Water,NULL,Water,NULL,NULL,Cropland
181,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
182,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
183,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
184,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
185,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
186,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
187,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
188,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
189,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
190,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
191,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
192,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
193,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
194,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
195,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
196,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
197,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
198,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
199,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
200,NULL,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
201,NULL,Water,Water,NULL,Water,NULL,NULL,NULL
202,NULL,Water,Water,NULL,Water,NULL,NULL,Built-up
203,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
204,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
205,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
206,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
207,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
208,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
209,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
210,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
211,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
212,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
213,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
214,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
215,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
216,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
217,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
218,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
219,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
220,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
221,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
222,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
223,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
224,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
225,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
226,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
227,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
228,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
229,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
230,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
231,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
232,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
233,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
234,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
235,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
236,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
237,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
238,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
239,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
240,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
241,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
242,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
243,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
244,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
245,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
246,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
247,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
248,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
249,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
250,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
251,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
252,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
253,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
254,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
255,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
256,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
257,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
258,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
259,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
260,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
261,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
262,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
263,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
264,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
265,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
266,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
267,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
268,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
269,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
270,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
271,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
272,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
273,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
274,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
275,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
276,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
277,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
278,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
279,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
280,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
281,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
282,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
283,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
284,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
285,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
286,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
287,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
288,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
289,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
290,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
291,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
292,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
293,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
294,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
295,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
296,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
297,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
298,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
299,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
300,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
301,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
302,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
303,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
304,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
305,Grassland,Cropland,Water,NULL,Water,NULL,NULL,Grassland
306,Grassland,Cropland,Water,NULL,Water,NULL,NULL,Cropland
307,Grassland,Cropland,Water,NULL,Water,NULL,NULL,Forest
308,Grassland,Cropland,Water,Non_Water,Water,NULL,NULL,Wetland
309,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
310,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
311,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
312,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
313,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
314,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
315,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
316,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
317,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
318,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
319,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
320,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
321,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
322,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
323,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
324,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
325,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
326,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
327,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
328,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
329,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
330,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
331,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
332,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
333,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
334,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
335,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
336,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
337,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
