Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LZR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LZR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LZR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LZR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LZR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LZR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LZR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LZR_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Built-up
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Built-up
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Water,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
130,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
132,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
133,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
137,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
138,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
141,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
142,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
154,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
167,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
172,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Cropland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Forest
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Grassland,Cropland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
193,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
194,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
195,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
196,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
197,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
198,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Bareland
199,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
200,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Bareland
201,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Grassland
202,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Bareland
203,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
204,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Bareland
205,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
206,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
207,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Water
208,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
209,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
210,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Cropland
211,NULL,NULL,NULL,Water,Non_Wetland,Cropland,NULL,Grassland
212,NULL,NULL,NULL,Water,Non_Wetland,Cropland,NULL,Cropland
213,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Water,Grassland
214,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Cropland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
