Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MXT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MXT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MXT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MXT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MXT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MXT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MXT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MXT_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Built-up
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Water
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Cropland
82,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
83,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Built-up
84,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
85,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Water
90,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Water
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
124,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
126,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
130,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
131,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
132,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
136,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Wetland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
188,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
189,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
190,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
191,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
193,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
194,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
195,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
196,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
197,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
198,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
199,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
200,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
201,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
202,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
203,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
204,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
205,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
206,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
207,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
208,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
209,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
210,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Cropland
211,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
212,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
213,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
214,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
215,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
216,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
217,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
218,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
219,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
220,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
221,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,NULL
222,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
223,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
224,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
225,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
226,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Cropland
227,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
228,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
229,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
230,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
231,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
232,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
233,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
234,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Water
235,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
236,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
237,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
238,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Water
239,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
240,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
241,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
242,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
243,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
244,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
245,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
246,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
247,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
249,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
254,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
255,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
256,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Water
260,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
261,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
262,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
266,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
267,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Water
268,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
269,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Cropland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
272,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Wetland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Water
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Bareland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Bareland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Water
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Cropland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Water
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Water
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Bareland
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Water
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Water
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
328,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
329,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
