Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19KGV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KGV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KGV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KGV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KGV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19KGV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19KGV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KGV_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
32,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
33,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
34,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
35,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
36,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
42,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
43,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
44,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
49,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
50,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
51,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
52,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
53,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
54,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
55,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
56,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
57,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
58,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
59,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
60,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
61,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
62,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
63,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
64,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
65,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
66,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
67,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
68,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
69,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
70,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
71,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
72,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
73,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
74,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
75,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
76,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Grassland
77,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
78,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
79,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
80,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
81,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
82,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
83,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
84,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
85,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
86,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
87,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
88,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
89,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
90,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
91,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
92,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
93,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
94,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
95,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
96,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
97,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
98,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
99,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
100,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
101,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
102,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
103,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
104,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Cropland
105,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
106,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
107,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
108,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
109,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
110,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
111,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
112,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
113,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
114,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
115,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
116,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
117,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
118,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
119,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
120,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
121,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
122,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
123,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
124,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
125,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
126,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
127,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
128,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
129,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
130,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
131,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
132,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
133,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
134,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
135,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
136,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
137,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
138,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
139,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
140,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
141,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
142,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
143,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
144,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
145,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
146,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
147,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
148,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
149,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
150,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
151,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
152,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
153,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
154,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
155,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
156,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
157,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
158,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
159,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
160,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
161,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
162,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
163,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
164,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
165,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
166,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
167,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
168,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
169,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
170,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Water
171,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
172,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
173,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
174,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
175,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
176,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
177,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
178,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
179,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
180,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
181,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
182,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
183,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
184,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
185,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
186,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
187,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
188,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
189,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
190,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
191,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
192,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
193,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
194,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
195,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
196,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
197,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
198,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
199,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
200,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
201,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
202,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
203,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
204,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
205,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
206,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
207,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
208,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
209,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
210,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
211,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
212,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
213,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
214,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
215,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
216,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
217,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
218,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
219,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
220,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
221,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
222,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
223,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
224,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
225,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
226,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
227,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
228,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
229,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
230,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
231,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
232,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
233,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
234,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
235,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
236,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
237,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
238,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
239,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
240,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
241,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
242,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
243,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
244,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
245,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Water
246,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
247,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
248,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
249,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Water
250,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
251,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
252,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
253,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
254,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
255,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
256,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
257,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
258,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
259,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
260,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Water
261,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
262,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
263,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
264,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
265,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
266,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
267,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
268,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
269,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
270,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
271,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
272,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
273,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
274,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
275,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
276,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
277,NULL,Water,Water,Water,Water,NULL,NULL,Water
278,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
279,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
280,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
281,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
282,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
283,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
284,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
285,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
286,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
287,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
288,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
289,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
290,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
291,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
292,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
293,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
294,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
295,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
296,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
297,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
298,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
299,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
300,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
301,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
302,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
303,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
304,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
305,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
306,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
307,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
308,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
309,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
310,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
311,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
312,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
313,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
314,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
315,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
316,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
317,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
318,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
319,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
320,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
321,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
322,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
323,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
324,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
325,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
326,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
327,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
328,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
329,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
330,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
331,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
