Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MMM_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
80,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Water,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
125,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
129,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
133,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
135,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
136,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
147,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
148,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Bareland
158,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
159,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
160,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Forest
161,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
162,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
163,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
165,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
169,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
170,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
171,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Bareland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Bareland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Cropland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Water,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,NULL
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Bareland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Water
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Cropland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
