Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MHU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
11,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
12,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
13,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
14,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
15,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
16,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
17,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Forest
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
26,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
27,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
30,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
34,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
36,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
37,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
