Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KEA_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
61,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
62,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
63,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
64,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
65,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
66,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
67,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
68,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
69,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
70,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
71,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Cropland
72,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
73,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
74,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
77,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
80,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
81,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
83,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
92,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
145,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
146,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
147,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
148,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,NULL
149,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
150,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
151,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
152,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Water
153,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
154,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
155,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
156,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
157,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
158,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
159,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
160,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
161,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
162,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
163,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
164,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
165,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
166,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
167,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
168,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
169,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
170,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
171,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
172,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
173,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
174,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
175,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
176,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
177,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
178,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
179,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
180,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
181,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
182,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
183,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
184,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
185,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
186,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
187,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
188,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
189,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
190,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
191,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
192,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
193,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
194,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
195,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
196,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
197,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
198,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
199,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
200,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
201,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
202,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
203,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
204,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,NULL
205,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
206,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Cropland
207,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Bareland
208,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
209,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
210,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
211,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Bareland
212,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Built-up
213,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
214,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
215,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Bareland
216,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Built-up
217,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
218,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
219,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
220,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Cropland
221,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
222,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
223,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Built-up
224,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
225,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
226,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
227,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
228,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
229,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
230,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
231,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
232,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
233,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
234,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
235,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
236,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
237,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
238,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
239,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
240,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
241,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
242,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,NULL
243,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
244,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
245,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Bareland
246,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
247,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
248,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
249,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
250,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Wetland,Grassland
251,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
252,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Cropland
253,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Bareland
254,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Grassland
255,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Cropland
256,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Bareland
257,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
258,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
259,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Forest
260,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
261,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Cropland
262,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
263,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
264,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Forest
265,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
266,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,NULL
267,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
268,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Cropland
269,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
270,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Grassland
271,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Forest
272,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
273,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
274,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
275,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
276,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
277,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
278,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
279,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
280,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
281,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
282,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
283,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
284,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
285,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
286,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Bareland
287,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
288,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
289,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
290,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Built-up
291,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Forest
292,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
293,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Built-up
294,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
295,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Cropland
296,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
297,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
298,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
299,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
300,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
301,NULL,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Water
302,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,NULL
303,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
304,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Cropland
305,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
306,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
307,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Cropland
308,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
309,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Wetland,Grassland
310,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Built-up,Grassland
311,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Grassland
312,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Cropland
313,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
314,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
315,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
316,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
317,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
318,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
319,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
320,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Forest
321,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
322,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
323,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
324,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland,NULL,NULL
