Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LCN_M_R
20,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
65,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Built-up
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
81,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
89,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
91,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
93,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Water
94,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
103,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
104,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
105,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
106,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
107,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
108,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
109,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
110,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
111,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
112,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
113,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
114,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
115,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
116,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
117,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
118,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
119,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
120,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
121,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
122,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
123,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
126,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
128,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
129,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
131,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Wetland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Cropland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Bareland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
262,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
263,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
264,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
265,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
266,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
267,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Water,Grassland
268,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
269,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
270,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
271,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
272,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
273,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
274,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Built-up
275,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
276,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Water
277,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
278,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Water
279,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
280,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
281,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
282,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
283,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
284,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
285,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
286,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Wetland
287,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
288,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
289,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Shrubland,Grassland
290,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Grassland,Grassland
291,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Wetland,Wetland
292,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
293,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
294,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
295,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Wetland,Grassland
296,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Water
297,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Shrubland,Grassland
298,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
299,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Forest
300,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
301,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
302,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
303,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
304,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
305,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
306,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
307,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
308,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
309,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
310,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
311,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
312,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
313,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
314,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
315,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
316,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
317,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
318,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Forest
319,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
320,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
