Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LCG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LCG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LCG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LCG_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Built-up
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
41,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
43,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
44,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
45,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
46,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
53,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
54,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
55,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
56,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
57,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
58,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
59,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
60,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
61,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
62,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
63,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
64,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
65,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
66,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
67,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
68,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
69,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
70,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
71,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
72,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
73,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
74,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
75,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Forest
76,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
77,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
78,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
79,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
80,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
81,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
82,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
83,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
84,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
85,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
86,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
87,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
88,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
89,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
90,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
91,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
92,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
93,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
94,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
95,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
96,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
97,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
98,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
99,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
100,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
101,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
102,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Forest
103,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
104,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
105,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
106,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
107,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
108,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
109,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
110,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
111,NULL,NULL,Water,Water,Water,NULL,NULL,Water
112,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
113,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
114,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
115,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
116,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
117,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
118,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
119,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
120,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
121,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
122,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
123,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
124,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
125,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
126,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
127,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
128,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
129,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
130,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
131,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
132,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
133,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
134,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
135,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
136,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
137,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
138,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
139,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Forest
140,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
141,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
142,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
143,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
144,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
145,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
146,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
147,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
148,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
149,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
150,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
151,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
152,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
153,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
154,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
155,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
156,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
157,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
158,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
159,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
160,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
161,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
162,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
163,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
164,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
165,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
166,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
167,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
168,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
169,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
170,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
171,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
172,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Bareland
173,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Forest
174,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
175,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
176,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
177,NULL,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
178,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
179,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
180,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
181,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
182,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
183,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
184,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
185,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
186,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
187,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
188,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Water
189,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Forest
190,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
191,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
192,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
193,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
194,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
195,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
196,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
197,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Forest
198,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
199,NULL,Cropland,Water,NULL,Water,NULL,NULL,Bareland
200,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
201,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
202,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Bareland
203,NULL,Cropland,Water,Water,Water,NULL,NULL,Bareland
204,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
205,NULL,Cropland,Water,Water,Water,NULL,NULL,Forest
206,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
207,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
208,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
209,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
210,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
211,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
212,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
213,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
214,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
215,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Water
216,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Forest
217,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
218,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
219,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
220,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
221,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
222,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
223,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
224,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Forest
225,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
226,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
227,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
228,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
229,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
230,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
231,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
232,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
233,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
234,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
235,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
236,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
237,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
238,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
239,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
240,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
241,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
242,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
243,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
244,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Water
245,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
246,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
247,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
248,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
249,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
250,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
251,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
252,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
253,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
254,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
255,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Forest
256,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
257,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
258,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
259,NULL,Wetland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
260,NULL,Wetland,Water,NULL,Water,NULL,NULL,Water
261,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
262,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
263,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
264,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
265,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
266,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
267,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
268,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
269,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
270,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
271,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
272,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
273,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
274,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
275,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
276,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
277,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
278,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
279,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
280,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
281,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Forest
282,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
283,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
284,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
285,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
286,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
287,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
288,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
289,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
290,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
291,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
292,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
293,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
294,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
295,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
296,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
297,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
298,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
299,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
300,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
301,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
302,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
303,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
304,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
305,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
306,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
307,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
308,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
309,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
310,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
311,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
312,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
313,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
314,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
315,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
316,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
317,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
318,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
319,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
320,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
321,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
322,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
323,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
324,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
325,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
326,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
327,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
328,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
329,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
330,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
331,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Forest
332,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
333,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
334,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
335,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
336,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
