Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LWQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LWQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LWQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LWQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LWQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LWQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LWQ_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Built-up
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
136,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
140,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
144,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
145,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
155,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Built-up
158,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Built-up
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Built-up
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
175,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
176,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
179,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Bareland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
183,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
186,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Bareland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Built-up,NULL
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Bareland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,NULL
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,NULL
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Forest
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,NULL
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,NULL,NULL
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Bareland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,NULL
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,NULL
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Grassland
240,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
241,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
242,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
243,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
244,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Cropland
245,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
246,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
247,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
248,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Forest
249,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
250,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
251,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
252,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
253,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Bareland
254,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Water
255,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,NULL
256,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
257,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Cropland
258,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Forest
259,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,NULL
260,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
261,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
262,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Forest
263,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Bareland
264,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Forest
265,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
266,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Forest
267,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Water
268,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Wetland
269,NULL,NULL,NULL,Water,Non_Wetland,Forest,Shrubland,NULL
270,NULL,NULL,NULL,Water,Non_Wetland,Forest,Shrubland,Grassland
271,NULL,NULL,NULL,Water,Non_Wetland,Forest,Shrubland,Forest
272,NULL,NULL,NULL,Water,Non_Wetland,Forest,Water,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
278,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
279,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
281,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
286,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
287,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
288,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
292,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
293,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
294,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
295,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
299,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Water
300,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
301,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
302,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
304,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
306,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
