Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NCF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NCF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NCF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NCF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
3,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
13,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
14,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
15,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
16,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
18,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
20,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
21,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
22,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
23,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
24,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
28,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
29,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
31,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
33,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
34,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
35,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
36,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
37,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
38,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
39,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
40,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
41,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
42,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
43,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
44,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
