Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MRV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
45,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
46,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
47,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Forest
48,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
49,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
50,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
51,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
52,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
53,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
54,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
55,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
56,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
57,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
58,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Forest
59,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
60,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
61,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
62,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
63,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Forest
64,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Forest
65,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
66,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
68,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
69,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
