Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MGR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
11,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Forest
12,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
13,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
23,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
25,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
26,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
