Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LZQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LZQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LZQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LZQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LZQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LZQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LZQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LZQ_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Wetland
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Built-up
75,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
82,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Built-up
83,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Wetland
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Cropland
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Wetland
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Water,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Wetland
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
117,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
119,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Wetland
120,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
121,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
124,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
125,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Wetland
127,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
129,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
132,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Wetland
133,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
134,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
135,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
139,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Water,Built-up,Bareland
141,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
152,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Built-up
156,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
157,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
159,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
161,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
162,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
165,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
166,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Forest
167,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Water
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Cropland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Wetland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Cropland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Built-up,Grassland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Water,Grassland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,NULL,Grassland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,NULL,Built-up
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
191,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
192,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
193,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
194,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Wetland
195,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
196,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
197,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
198,NULL,NULL,NULL,Water,Non_Wetland,Cropland,NULL,Grassland
199,NULL,NULL,NULL,Water,Non_Wetland,Cropland,NULL,Cropland
200,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
201,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Wetland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Wetland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Wetland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Wetland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Cropland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Wetland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Built-up
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Forest
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Water,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Wetland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Wetland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Wetland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
