Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24KVE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KVE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KVE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KVE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KVE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KVE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KVE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24KVE_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
76,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
77,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
79,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
81,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
86,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
87,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
91,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
92,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
93,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Built-up
94,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
98,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
106,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
107,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
108,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
109,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
110,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
111,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
112,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
113,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
114,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
115,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
116,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
117,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
118,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
119,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
120,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
121,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
122,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
123,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
124,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
125,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
126,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
127,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
128,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
129,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
130,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
131,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
132,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Grassland
133,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Forest
134,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
135,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Wetland
136,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
137,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
138,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
139,NULL,NULL,NULL,Water,Non_Wetland,Forest,Forest,Grassland
140,NULL,NULL,NULL,Water,Non_Wetland,Forest,Forest,Forest
141,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
142,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
147,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
148,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
152,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
153,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Bareland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
158,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
159,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
160,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Wetland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
165,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
166,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Wetland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Wetland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Wetland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Wetland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,NULL
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Wetland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Built-up,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Cropland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Wetland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
239,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
240,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
241,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
242,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Wetland
243,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,NULL
244,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
245,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
246,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
247,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
248,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
249,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
250,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
251,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
252,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
253,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
254,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
255,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
256,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
257,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Wetland
258,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Wetland
259,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
260,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,NULL,Grassland
261,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,NULL,Wetland
262,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,NULL,Forest
263,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,Grassland
264,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Wetland,Grassland
265,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Wetland,Wetland
266,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Wetland,Forest
267,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
268,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
269,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Wetland
270,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Water
271,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Forest
272,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland,Grassland
273,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
274,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
275,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Wetland
276,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,NULL
277,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
278,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
279,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Grassland
280,NULL,NULL,Shrubland,Water,Non_Wetland,Forest,Wetland,Forest
281,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
282,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
283,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
284,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
285,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
286,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
287,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
288,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
289,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Wetland
290,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
291,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,NULL
292,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
293,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Wetland
294,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
295,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Grassland
296,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up,Built-up
297,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
298,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Wetland
299,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
300,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
301,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
302,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Wetland
303,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Bareland
304,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
305,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
306,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
307,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
308,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
309,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
310,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
311,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
312,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
313,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Cropland
314,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
315,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
316,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
317,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Cropland
318,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Cropland
319,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
320,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Wetland
321,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
322,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
323,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Wetland
324,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
325,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
