Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LMG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LMG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LMG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LMG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LMG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LMG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LMG_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Bareland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Built-up
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Water
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Bareland
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Built-up
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Water
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
188,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
189,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
190,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
191,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
192,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
193,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
194,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
195,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
206,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
207,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
209,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Forest
232,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Forest
233,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,NULL
234,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,NULL
235,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Wetland
236,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,NULL
237,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
238,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
239,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Bareland
240,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Bareland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Built-up
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
276,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
278,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
281,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Built-up
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Water
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Cropland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Cropland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
