Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
31,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
44,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
