Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NBH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NBH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NBH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NBH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NBH_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
3,NULL,NULL,Wetland,NULL,Wetland,Forest,NULL,Forest
4,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
6,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
7,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
8,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
9,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,NULL,Built-up
10,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
11,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest,NULL,Forest
12,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
13,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
14,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
15,NULL,Built-up,Wetland,NULL,Wetland,Forest,NULL,Forest
16,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,NULL,Forest
17,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
18,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
19,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,NULL,Built-up
20,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,NULL,Forest
21,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
22,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
23,NULL,Water,Wetland,NULL,Wetland,Wetland,NULL,Water
24,NULL,Water,Wetland,NULL,Wetland,Wetland,NULL,Forest
25,NULL,Water,Wetland,NULL,Wetland,Wetland,Forest,Forest
26,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
27,NULL,Water,Water,NULL,Water,Wetland,NULL,Forest
28,NULL,Water,Water,Water,Water,Water,Wetland,Water
