Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MES_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MES_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MES_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MES_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MES_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MES_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MES_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MES_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
33,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
34,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
35,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
36,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
37,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
38,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
39,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
40,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
41,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
42,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
43,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
44,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
45,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
46,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
47,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
48,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
49,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
50,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
51,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
52,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
53,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Water
54,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
55,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
56,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Forest
57,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Forest
58,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
59,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
60,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Water
61,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
