Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NVF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NVF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NVF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NVF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NVF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Forest
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
8,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
12,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,Water,Non_Wetland,Water
14,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
17,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
18,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
20,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
21,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
22,NULL,NULL,Grassland,Water,Non_Wetland,Water
23,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
24,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
25,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
26,NULL,NULL,Cropland,Water,Non_Wetland,Water
27,NULL,NULL,Wetland,NULL,Wetland,NULL
28,NULL,NULL,Wetland,NULL,Wetland,Grassland
29,NULL,NULL,Wetland,NULL,Wetland,Wetland
30,NULL,NULL,Wetland,NULL,Wetland,Water
31,NULL,NULL,Wetland,NULL,Wetland,Forest
32,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
33,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
34,NULL,NULL,Wetland,Non_Water,Wetland,Water
35,NULL,NULL,Wetland,Non_Water,Wetland,Forest
36,NULL,NULL,Wetland,Water,Wetland,Grassland
37,NULL,NULL,Wetland,Water,Wetland,Wetland
38,NULL,NULL,Wetland,Water,Wetland,Water
39,NULL,NULL,Wetland,Water,Wetland,Forest
40,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
41,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
42,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
43,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
44,NULL,NULL,Bareland,Water,Non_Wetland,Water
45,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
46,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
47,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
48,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
49,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
50,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
51,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
52,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
53,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
54,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
55,NULL,NULL,Built-up,Water,Non_Wetland,Water
56,NULL,NULL,Water,NULL,Water,Water
57,NULL,NULL,Water,NULL,Water,Forest
58,NULL,NULL,Water,Non_Water,Water,Grassland
59,NULL,NULL,Water,Non_Water,Water,Bareland
60,NULL,NULL,Water,Water,Water,Water
61,NULL,NULL,Water,Water,Water,Forest
62,NULL,NULL,Forest,NULL,Non_Wetland,NULL
63,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
64,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
65,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
66,NULL,NULL,Forest,NULL,Non_Wetland,Water
67,NULL,NULL,Forest,NULL,Non_Wetland,Forest
68,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
69,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
70,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
71,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
72,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
73,NULL,NULL,Forest,Water,Non_Wetland,Grassland
74,NULL,NULL,Forest,Water,Non_Wetland,Wetland
75,NULL,NULL,Forest,Water,Non_Wetland,Water
76,NULL,NULL,Forest,Water,Non_Wetland,Forest
77,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
78,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
79,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
80,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
81,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
82,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
83,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
84,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
85,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
86,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
87,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
88,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
89,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
90,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
91,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
92,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
93,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
94,NULL,Wetland,Wetland,NULL,Wetland,NULL
95,NULL,Wetland,Wetland,NULL,Wetland,Grassland
96,NULL,Wetland,Wetland,NULL,Wetland,Wetland
97,NULL,Wetland,Wetland,NULL,Wetland,Water
98,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
99,NULL,Wetland,Wetland,Non_Water,Wetland,Water
100,NULL,Wetland,Wetland,Water,Wetland,Bareland
101,NULL,Wetland,Wetland,Water,Wetland,Water
102,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Forest
103,NULL,Wetland,Built-up,Water,Non_Wetland,Water
104,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
105,NULL,Wetland,Forest,NULL,Non_Wetland,Water
106,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
107,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
108,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water
109,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
110,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
111,NULL,Wetland,Forest,Water,Non_Wetland,Water
112,NULL,Bareland,Grassland,Water,Non_Wetland,Water
113,NULL,Bareland,Wetland,Water,Wetland,Water
114,NULL,Bareland,Bareland,Water,Non_Wetland,Water
115,NULL,Bareland,Built-up,Water,Non_Wetland,Water
116,NULL,Bareland,Water,Water,Water,Water
117,NULL,Bareland,Forest,Water,Non_Wetland,Water
118,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
119,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
120,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
121,NULL,Built-up,NULL,Water,Non_Wetland,Forest
122,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
123,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
124,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
125,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
126,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
127,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
128,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Water
129,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
130,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
131,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
132,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
133,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
134,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
135,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
136,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
137,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
138,NULL,Built-up,Grassland,Water,Non_Wetland,Forest
139,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
140,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
141,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
142,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Water
143,NULL,Built-up,Wetland,NULL,Wetland,Grassland
144,NULL,Built-up,Wetland,NULL,Wetland,Built-up
145,NULL,Built-up,Wetland,NULL,Wetland,Water
146,NULL,Built-up,Wetland,NULL,Wetland,Forest
147,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland
148,NULL,Built-up,Wetland,Non_Water,Wetland,Water
149,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
150,NULL,Built-up,Wetland,Water,Wetland,Grassland
151,NULL,Built-up,Wetland,Water,Wetland,Built-up
152,NULL,Built-up,Wetland,Water,Wetland,Water
153,NULL,Built-up,Wetland,Water,Wetland,Forest
154,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
155,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
156,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
157,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
158,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
159,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
160,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
161,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
162,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
163,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
164,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
165,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water
166,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
167,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
168,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
169,NULL,Built-up,Built-up,Water,Non_Wetland,Water
170,NULL,Built-up,Water,NULL,Water,Built-up
171,NULL,Built-up,Water,NULL,Water,Water
172,NULL,Built-up,Water,NULL,Water,Forest
173,NULL,Built-up,Water,Non_Water,Water,Grassland
174,NULL,Built-up,Water,Water,Water,Built-up
175,NULL,Built-up,Water,Water,Water,Water
176,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
177,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
178,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
179,NULL,Built-up,Forest,NULL,Non_Wetland,Water
180,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
181,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
182,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
183,NULL,Built-up,Forest,Water,Non_Wetland,Grassland
184,NULL,Built-up,Forest,Water,Non_Wetland,Forest
185,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
186,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
187,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
188,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
189,NULL,Water,Shrubland,Water,Non_Wetland,Water
190,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
191,NULL,Water,Grassland,NULL,Non_Wetland,Forest
192,NULL,Water,Grassland,Water,Non_Wetland,Water
193,NULL,Water,Wetland,NULL,Wetland,Water
194,NULL,Water,Wetland,NULL,Wetland,Forest
195,NULL,Water,Wetland,Non_Water,Wetland,Water
196,NULL,Water,Wetland,Non_Water,Wetland,Forest
197,NULL,Water,Wetland,Water,Wetland,Grassland
198,NULL,Water,Wetland,Water,Wetland,Water
199,NULL,Water,Wetland,Water,Wetland,Forest
200,NULL,Water,Built-up,NULL,Non_Wetland,Water
201,NULL,Water,Built-up,NULL,Non_Wetland,Forest
202,NULL,Water,Built-up,Non_Water,Non_Wetland,Water
203,NULL,Water,Built-up,Water,Non_Wetland,Water
204,NULL,Water,Water,NULL,Water,Water
205,NULL,Water,Water,NULL,Water,Forest
206,NULL,Water,Water,Non_Water,Water,Water
207,NULL,Water,Water,Water,Water,Water
208,NULL,Water,Forest,NULL,Non_Wetland,Grassland
209,NULL,Water,Forest,NULL,Non_Wetland,Water
210,NULL,Water,Forest,NULL,Non_Wetland,Forest
211,NULL,Water,Forest,Non_Water,Non_Wetland,Water
212,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
213,NULL,Water,Forest,Water,Non_Wetland,Grassland
214,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
215,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
216,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
217,NULL,Forest,Shrubland,NULL,Non_Wetland,Water
218,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
219,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
220,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
221,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
222,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
223,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
224,NULL,Forest,Grassland,Water,Non_Wetland,Forest
225,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
226,NULL,Forest,Cropland,Non_Water,Non_Wetland,Water
227,NULL,Forest,Wetland,NULL,Wetland,Grassland
228,NULL,Forest,Wetland,NULL,Wetland,Forest
229,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
