Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LYH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LYH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
