Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LZP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LZP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LZP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LZP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LZP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
5,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
6,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
7,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
8,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
9,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
10,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
11,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
12,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
13,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
14,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
15,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
16,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
17,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
18,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
19,NULL,Water,Water,Water,Water,NULL,NULL,Water
20,NULL,Water,Water,Water,Water,Water,Water,Water
21,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
22,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
23,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
24,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
25,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
26,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
27,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
28,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Water
29,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Bareland
30,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
31,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
32,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
