Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MYQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
20,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Water
23,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
25,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
27,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
29,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
30,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
31,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Water
32,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
33,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Wetland,Grassland
34,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
35,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
36,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
37,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Water
38,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Forest
39,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
40,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
41,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Water
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
