Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KMA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KMA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KMA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KMA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KMA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KMA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KMA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KMA_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
42,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
43,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
46,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
54,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
55,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
56,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
57,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
58,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
59,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
60,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
61,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
62,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
63,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
64,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
65,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
66,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
67,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
68,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
69,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
70,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
71,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
72,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
73,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
74,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
75,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
76,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
77,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
78,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
79,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
80,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
81,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
82,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
83,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
84,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
85,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
86,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
87,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
88,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
89,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
90,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
91,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
92,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
93,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
94,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
95,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
96,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
97,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
98,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
99,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
100,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
101,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
102,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
103,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
104,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
105,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
106,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
107,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
108,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
109,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
110,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
111,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Cropland
112,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
113,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
114,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
115,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
116,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
117,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
118,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
119,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
120,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
121,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
122,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
123,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
124,NULL,NULL,Water,Water,Water,NULL,NULL,NULL
125,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
126,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
127,NULL,NULL,Water,Water,Water,NULL,NULL,Water
128,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
129,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
130,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
131,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
132,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
133,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
134,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
135,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
136,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
137,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
138,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
139,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
140,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
141,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
142,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
143,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
144,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
145,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
146,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
147,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
148,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
149,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
150,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
151,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
152,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
153,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
154,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
155,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
156,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
157,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
158,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
159,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
160,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
161,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
162,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
163,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
164,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
165,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
166,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
167,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
168,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
169,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
170,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
171,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
172,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
173,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
174,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
175,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
176,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
177,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
178,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
179,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
180,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
181,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
182,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
183,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
184,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
185,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
186,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
187,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
188,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
189,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
190,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
191,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
192,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
193,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
194,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
195,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
196,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
197,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
198,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
199,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
200,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
201,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
202,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
203,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
204,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
205,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
206,NULL,Cropland,Water,NULL,Water,NULL,NULL,Cropland
207,NULL,Cropland,Water,NULL,Water,NULL,NULL,Bareland
208,NULL,Cropland,Water,NULL,Water,NULL,NULL,Built-up
209,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
210,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
211,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Cropland
212,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
213,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
214,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
215,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
216,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
217,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
218,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
219,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
220,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
221,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
222,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
223,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
224,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
225,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
226,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Water
227,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
228,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
229,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
230,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
231,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
232,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
233,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
234,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
235,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
236,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
237,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
238,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
239,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
240,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
241,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
242,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
243,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
244,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
245,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
246,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
247,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
248,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
249,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
250,NULL,Bareland,Water,NULL,Water,NULL,NULL,Grassland
251,NULL,Bareland,Water,NULL,Water,NULL,NULL,Bareland
252,NULL,Bareland,Water,NULL,Water,NULL,NULL,Water
253,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
254,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
255,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
256,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
257,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
258,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
259,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
260,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
261,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
262,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
263,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
264,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Bareland
265,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Water
266,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
267,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
268,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
269,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
270,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
271,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
272,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
273,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
274,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
275,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
276,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
277,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
278,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
279,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
280,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
281,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
282,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
283,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
284,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
285,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
286,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
287,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
288,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
289,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
290,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
291,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
292,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
293,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Water
294,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
295,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
296,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
297,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
298,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
299,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
300,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
301,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
302,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
303,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
304,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
305,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
306,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
307,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
308,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
309,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
310,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
311,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
312,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Water
313,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
314,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
315,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
316,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
317,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
318,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
319,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
320,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
321,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
322,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
323,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
324,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
325,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
326,NULL,Built-up,Water,NULL,Water,NULL,NULL,Cropland
327,NULL,Built-up,Water,NULL,Water,NULL,NULL,Built-up
328,NULL,Built-up,Water,NULL,Water,NULL,NULL,Water
329,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
330,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Bareland
331,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Forest
332,NULL,Built-up,Water,Water,Water,NULL,NULL,Grassland
333,NULL,Built-up,Water,Water,Water,NULL,NULL,Water
334,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
335,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
336,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
337,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
