Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LBG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LBG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LBG_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
8,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
9,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
10,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
19,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
20,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
21,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
22,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
23,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
24,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
26,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
31,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
34,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
35,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
36,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
38,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
39,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
40,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
41,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
42,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
43,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
44,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
45,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
46,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
47,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
48,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
49,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
50,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
51,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
