Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NUG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NUG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NUG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NUG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NUG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NUG_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Water
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
8,NULL,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Water,Non_Wetland,Bareland
10,NULL,NULL,NULL,Water,Non_Wetland,Water
11,NULL,NULL,NULL,Water,Non_Wetland,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
22,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Water
25,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
26,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
27,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
30,NULL,NULL,Grassland,NULL,Non_Wetland,Water
31,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
36,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
37,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
38,NULL,NULL,Grassland,Water,Non_Wetland,Water
39,NULL,NULL,Grassland,Water,Non_Wetland,Forest
40,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
43,NULL,NULL,Cropland,NULL,Non_Wetland,Water
44,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
47,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
48,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
49,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
50,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
51,NULL,NULL,Cropland,Water,Non_Wetland,Water
52,NULL,NULL,Cropland,Water,Non_Wetland,Forest
53,NULL,NULL,Wetland,NULL,Wetland,NULL
54,NULL,NULL,Wetland,NULL,Wetland,Grassland
55,NULL,NULL,Wetland,NULL,Wetland,Bareland
56,NULL,NULL,Wetland,NULL,Wetland,Water
57,NULL,NULL,Wetland,NULL,Wetland,Forest
58,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
59,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
60,NULL,NULL,Wetland,Non_Water,Wetland,Water
61,NULL,NULL,Wetland,Non_Water,Wetland,Forest
62,NULL,NULL,Wetland,Water,Wetland,Grassland
63,NULL,NULL,Wetland,Water,Wetland,Bareland
64,NULL,NULL,Wetland,Water,Wetland,Water
65,NULL,NULL,Wetland,Water,Wetland,Forest
66,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
67,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
68,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
69,NULL,NULL,Bareland,NULL,Non_Wetland,Water
70,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
71,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
72,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
73,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
74,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
75,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
76,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
77,NULL,NULL,Bareland,Water,Non_Wetland,Water
78,NULL,NULL,Bareland,Water,Non_Wetland,Forest
79,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
80,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
81,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
82,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
83,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
84,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
85,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
86,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
87,NULL,NULL,Built-up,Water,Non_Wetland,Water
88,NULL,NULL,Built-up,Water,Non_Wetland,Forest
89,NULL,NULL,Water,NULL,Water,Grassland
90,NULL,NULL,Water,NULL,Water,Bareland
91,NULL,NULL,Water,NULL,Water,Water
92,NULL,NULL,Water,NULL,Water,Forest
93,NULL,NULL,Water,Non_Water,Water,Grassland
94,NULL,NULL,Water,Non_Water,Water,Bareland
95,NULL,NULL,Water,Non_Water,Water,Water
96,NULL,NULL,Water,Non_Water,Water,Forest
97,NULL,NULL,Water,Water,Water,Grassland
98,NULL,NULL,Water,Water,Water,Wetland
99,NULL,NULL,Water,Water,Water,Bareland
100,NULL,NULL,Water,Water,Water,Water
101,NULL,NULL,Water,Water,Water,Forest
102,NULL,NULL,Forest,NULL,Non_Wetland,NULL
103,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
104,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
105,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
106,NULL,NULL,Forest,NULL,Non_Wetland,Water
107,NULL,NULL,Forest,NULL,Non_Wetland,Forest
108,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
109,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
110,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
111,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
112,NULL,NULL,Forest,Water,Non_Wetland,Grassland
113,NULL,NULL,Forest,Water,Non_Wetland,Bareland
114,NULL,NULL,Forest,Water,Non_Wetland,Water
115,NULL,NULL,Forest,Water,Non_Wetland,Forest
116,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
117,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
118,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
119,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
120,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
121,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
122,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
123,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
