Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KPB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KPB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KPB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KPB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KPB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KPB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KPB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KPB_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Built-up
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
126,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
192,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
193,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
194,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
195,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
197,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Water
198,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
199,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
200,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Cropland
201,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
202,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
211,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
212,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
213,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
214,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
215,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
216,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
217,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
218,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
219,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
220,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
221,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
222,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
225,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
226,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
228,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
229,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
232,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
233,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Forest
235,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
236,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
238,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,NULL
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Cropland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Bareland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Water
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Water
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,Wetland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
285,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
286,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
287,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
288,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
289,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Water
290,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
291,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Water
292,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
293,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
294,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Bareland,NULL
295,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,NULL
296,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Forest
297,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Bareland
298,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Forest
299,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
300,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
301,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Bareland
302,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
303,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
304,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
305,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Cropland
306,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Water
307,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Grassland
308,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Wetland
309,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Bareland
310,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,NULL
311,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
312,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,NULL
313,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
330,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
