Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MUP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
2,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
