Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NWC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NWC_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Forest
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
76,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
77,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
78,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
79,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
80,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
81,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
82,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
83,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
84,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
85,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
86,NULL,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Grassland
87,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,NULL
88,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
89,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,NULL
90,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
91,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
92,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
93,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
94,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
95,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
96,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
97,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
98,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
99,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Wetland
100,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,NULL
101,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
102,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
103,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
104,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
105,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
106,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
107,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
