Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MPS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
62,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
