Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LWC_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Wetland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Water
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
183,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
184,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
185,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
186,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
193,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Built-up
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Wetland
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
210,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
214,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Forest
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Built-up
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Wetland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Wetland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
267,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
268,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Water
269,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
270,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
271,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
272,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
273,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
274,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
275,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Forest
276,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
277,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
279,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
283,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
284,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
286,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
291,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
292,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
299,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
300,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
301,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
302,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
307,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Wetland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Water
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Wetland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
