Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LGF_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
32,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
33,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
47,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
48,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
49,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
50,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
51,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
52,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
53,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
54,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
55,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
56,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
57,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
58,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
59,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
60,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
61,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
62,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
63,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
64,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
65,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
66,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
67,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
68,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
69,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
70,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Built-up
71,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
72,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
73,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
74,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
75,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
76,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
77,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
78,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
79,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
80,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
81,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
82,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
83,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
84,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
85,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
86,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
87,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
88,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
89,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
90,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
91,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
92,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
93,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
94,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
95,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
96,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
97,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
98,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
99,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
100,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
101,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
102,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
103,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
104,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
105,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
106,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
107,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
108,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
109,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
110,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
111,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
112,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
113,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
114,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
115,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
116,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
117,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
118,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
119,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
120,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
121,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
122,NULL,NULL,Water,Water,Water,NULL,NULL,Water
123,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
124,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
125,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
126,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
127,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
128,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
129,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
130,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
131,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
132,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
133,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
134,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
135,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
136,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
137,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
138,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
139,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
140,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
141,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
142,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
143,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
144,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
145,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
146,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
147,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
148,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
149,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
150,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
151,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
152,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
153,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
154,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
155,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
156,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
157,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
158,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
159,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
160,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
161,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
162,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
163,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
164,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
165,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
166,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
167,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
168,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
169,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
170,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
171,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
172,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
173,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
174,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
175,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
176,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
177,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
178,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
179,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
180,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
181,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
182,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
183,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
184,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
185,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
186,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
187,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
188,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
189,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
190,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
191,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
192,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
193,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
194,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
195,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
196,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
197,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
198,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
199,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
200,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
201,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
202,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
203,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
204,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
205,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
206,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
207,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
208,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
209,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
210,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
211,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
212,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
213,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
214,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
215,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
216,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
217,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
218,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
219,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
220,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Water
221,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
222,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
223,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
224,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
225,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
226,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
227,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
228,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
229,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
230,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
231,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
232,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
233,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
234,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
235,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
236,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
237,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
238,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
239,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
240,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
241,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
242,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
243,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
244,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
245,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
246,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
247,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
248,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
249,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
250,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
251,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
252,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
253,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
254,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Wetland
255,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
256,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
257,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
258,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
259,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
260,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
261,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
262,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
263,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
264,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
265,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
266,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
267,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
268,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
269,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
270,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
271,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
272,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
273,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
274,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
275,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
276,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
277,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
278,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
279,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
280,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
281,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
282,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
283,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
284,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
285,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
286,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
287,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
288,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
289,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
290,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
291,NULL,Water,Water,Non_Water,Water,NULL,NULL,Forest
292,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
293,NULL,Water,Water,Water,Water,NULL,NULL,Forest
294,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
295,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
296,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
297,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
298,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
299,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
300,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
301,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
302,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
303,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
304,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
305,NULL,Forest,NULL,Water,Non_Wetland,NULL,NULL,Grassland
306,NULL,Forest,NULL,Water,Non_Wetland,NULL,NULL,Wetland
307,NULL,Forest,NULL,Water,Non_Wetland,NULL,NULL,Forest
308,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
309,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
310,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
311,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
312,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
313,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
314,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
315,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
316,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
317,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
318,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
319,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
320,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
321,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
322,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
323,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
324,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
325,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
326,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
327,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
328,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
329,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,NULL
330,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
331,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
332,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
333,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
334,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
335,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
336,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
337,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
338,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
339,NULL,Forest,Water,Water,Water,NULL,NULL,Grassland
340,NULL,Forest,Water,Water,Water,NULL,NULL,Forest
341,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
342,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
343,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
344,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
